,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1100,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0967254638671875e-05,9.059906005859375e-06,1.1920928955078125e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.71661376953125e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.71661376953125e-05,1.6927719116210938e-05,1.71661376953125e-05,1.5974044799804688e-05,1.71661376953125e-05
1200,1.6927719116210938e-05,9.775161743164062e-06,1.0967254638671875e-05,9.059906005859375e-06,9.059906005859375e-06,1.1920928955078125e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.5020370483398438e-05,1.1920928955078125e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.7881393432617188e-05,1.6927719116210938e-05,1.811981201171875e-05,1.5974044799804688e-05,1.811981201171875e-05,1.7881393432617188e-05
1300,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0967254638671875e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.5974044799804688e-05,1.2874603271484375e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.6927719116210938e-05,3.886222839355469e-05,1.9073486328125e-05,2.193450927734375e-05,1.6927719116210938e-05
1400,1.1920928955078125e-05,9.775161743164062e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.3113021850585938e-05,1.3113021850585938e-05,9.059906005859375e-06,1.3113021850585938e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.621246337890625e-05,1.6927719116210938e-05,1.621246337890625e-05,1.5974044799804688e-05,1.71661376953125e-05,1.5974044799804688e-05,1.7881393432617188e-05,1.71661376953125e-05
1500,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,2.6941299438476562e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.3828277587890625e-05,2.193450927734375e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.6927719116210938e-05,2.288818359375e-05,1.9073486328125e-05
1600,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,9.059906005859375e-06,9.059906005859375e-06,1.0013580322265625e-05,1.3113021850585938e-05,1.0013580322265625e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.2159347534179688e-05,1.6927719116210938e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.621246337890625e-05,1.5974044799804688e-05,1.71661376953125e-05,1.811981201171875e-05,1.6927719116210938e-05,1.811981201171875e-05,1.811981201171875e-05
1700,1.0967254638671875e-05,9.059906005859375e-06,8.821487426757812e-06,1.0013580322265625e-05,9.059906005859375e-06,1.0013580322265625e-05,1.1205673217773438e-05,1.0013580322265625e-05,1.0967254638671875e-05,2.288818359375e-05,1.2874603271484375e-05,1.3113021850585938e-05,1.3113021850585938e-05,2.002716064453125e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.3828277587890625e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.621246337890625e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.6927719116210938e-05
1800,1.0967254638671875e-05,9.059906005859375e-06,9.059906005859375e-06,9.775161743164062e-06,8.821487426757812e-06,9.059906005859375e-06,1.0013580322265625e-05,1.0013580322265625e-05,1.2159347534179688e-05,9.059906005859375e-06,1.3113021850585938e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.811981201171875e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.5020370483398438e-05
1900,1.0967254638671875e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.1205673217773438e-05,8.821487426757812e-06,1.0967254638671875e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.1920928955078125e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.4781951904296875e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.71661376953125e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.4781951904296875e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.811981201171875e-05,1.5974044799804688e-05
2000,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,9.059906005859375e-06,9.059906005859375e-06,1.0967254638671875e-05,1.1920928955078125e-05,1.1205673217773438e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.2159347534179688e-05,1.5020370483398438e-05,1.3113021850585938e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.811981201171875e-05,1.6927719116210938e-05,1.71661376953125e-05
2100,1.1920928955078125e-05,8.821487426757812e-06,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.1205673217773438e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.71661376953125e-05,1.5974044799804688e-05,1.71661376953125e-05,1.7881393432617188e-05
2200,1.0013580322265625e-05,9.059906005859375e-06,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0013580322265625e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.6927719116210938e-05,2.8848648071289062e-05,1.71661376953125e-05,1.5974044799804688e-05,1.71661376953125e-05,1.6927719116210938e-05,1.5020370483398438e-05
2300,1.1205673217773438e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.1205673217773438e-05,8.821487426757812e-06,1.1920928955078125e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.621246337890625e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.5020370483398438e-05,1.4781951904296875e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.7881393432617188e-05,1.71661376953125e-05
2400,1.0967254638671875e-05,9.059906005859375e-06,1.1920928955078125e-05,9.059906005859375e-06,9.059906005859375e-06,1.0967254638671875e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.2159347534179688e-05,9.059906005859375e-06,1.1920928955078125e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.5974044799804688e-05,1.4066696166992188e-05,2.9087066650390625e-05,1.5020370483398438e-05,1.1920928955078125e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.621246337890625e-05,1.6927719116210938e-05,1.71661376953125e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.7881393432617188e-05,1.811981201171875e-05
2500,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.71661376953125e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.6927719116210938e-05,1.621246337890625e-05,1.5020370483398438e-05,1.71661376953125e-05,1.7881393432617188e-05
2600,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,1.1205673217773438e-05,9.059906005859375e-06,1.0013580322265625e-05,3.600120544433594e-05,3.0994415283203125e-05,1.1920928955078125e-05,1.1205673217773438e-05,1.8835067749023438e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.5974044799804688e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.2874603271484375e-05,1.5974044799804688e-05,1.4066696166992188e-05,1.71661376953125e-05,1.6927719116210938e-05,1.7881393432617188e-05,1.71661376953125e-05,1.6927719116210938e-05
2700,1.1205673217773438e-05,9.059906005859375e-06,9.059906005859375e-06,1.0967254638671875e-05,9.059906005859375e-06,8.821487426757812e-06,1.1205673217773438e-05,1.0967254638671875e-05,1.0967254638671875e-05,9.059906005859375e-06,1.2159347534179688e-05,1.1920928955078125e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.621246337890625e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.7881393432617188e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.4066696166992188e-05
2800,1.2159347534179688e-05,1.5020370483398438e-05,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0967254638671875e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.2159347534179688e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.1920928955078125e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.71661376953125e-05,1.6927719116210938e-05,1.71661376953125e-05,1.811981201171875e-05,1.5974044799804688e-05
2900,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,8.821487426757812e-06,1.1920928955078125e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,3.0994415283203125e-05,1.621246337890625e-05,2.09808349609375e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.621246337890625e-05,1.5974044799804688e-05,1.71661376953125e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.9073486328125e-05,1.6927719116210938e-05,2.09808349609375e-05,1.6927719116210938e-05
3000,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,9.059906005859375e-06,1.2159347534179688e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.0967254638671875e-05,9.775161743164062e-06,1.4066696166992188e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.621246337890625e-05,1.5974044799804688e-05,1.811981201171875e-05,1.5974044799804688e-05,1.811981201171875e-05
3100,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0967254638671875e-05,8.821487426757812e-06,1.0013580322265625e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.0967254638671875e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.4781951904296875e-05,1.5020370483398438e-05,3.504753112792969e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.71661376953125e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.1920928955078125e-05
3200,7.867813110351562e-06,6.9141387939453125e-06,8.106231689453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,9.059906005859375e-06,9.059906005859375e-06,7.152557373046875e-06,9.059906005859375e-06,8.106231689453125e-06,8.821487426757812e-06,1.0013580322265625e-05,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.1920928955078125e-05,9.059906005859375e-06,1.1920928955078125e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.2874603271484375e-05
3300,8.821487426757812e-06,7.152557373046875e-06,9.059906005859375e-06,8.106231689453125e-06,6.9141387939453125e-06,8.106231689453125e-06,9.059906005859375e-06,8.106231689453125e-06,1.0013580322265625e-05,7.867813110351562e-06,8.821487426757812e-06,9.775161743164062e-06,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.2159347534179688e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.3113021850585938e-05,2.5033950805664062e-05
3400,7.867813110351562e-06,6.198883056640625e-06,8.106231689453125e-06,7.867813110351562e-06,6.9141387939453125e-06,8.106231689453125e-06,7.867813110351562e-06,7.867813110351562e-06,1.0013580322265625e-05,6.9141387939453125e-06,9.059906005859375e-06,1.0013580322265625e-05,9.059906005859375e-06,8.821487426757812e-06,8.821487426757812e-06,1.0013580322265625e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.3113021850585938e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.2874603271484375e-05
3500,7.867813110351562e-06,6.9141387939453125e-06,7.152557373046875e-06,9.059906005859375e-06,6.9141387939453125e-06,8.106231689453125e-06,9.059906005859375e-06,9.059906005859375e-06,8.106231689453125e-06,6.9141387939453125e-06,1.0013580322265625e-05,8.821487426757812e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.2874603271484375e-05
3600,7.867813110351562e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,9.059906005859375e-06,7.867813110351562e-06,8.106231689453125e-06,6.9141387939453125e-06,2.288818359375e-05,8.106231689453125e-06,9.059906005859375e-06,1.0013580322265625e-05,9.059906005859375e-06,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.1205673217773438e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.1205673217773438e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.1205673217773438e-05
3700,9.059906005859375e-06,6.9141387939453125e-06,8.106231689453125e-06,8.106231689453125e-06,6.9141387939453125e-06,8.106231689453125e-06,8.106231689453125e-06,9.059906005859375e-06,1.0013580322265625e-05,6.9141387939453125e-06,1.0013580322265625e-05,8.821487426757812e-06,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0013580322265625e-05,1.0967254638671875e-05,2.6941299438476562e-05,1.0967254638671875e-05,9.775161743164062e-06,1.5020370483398438e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.4066696166992188e-05,1.1920928955078125e-05,1.0967254638671875e-05
3800,7.867813110351562e-06,6.9141387939453125e-06,8.106231689453125e-06,6.9141387939453125e-06,7.152557373046875e-06,9.059906005859375e-06,9.059906005859375e-06,7.867813110351562e-06,9.059906005859375e-06,7.867813110351562e-06,7.867813110351562e-06,1.0013580322265625e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.2159347534179688e-05,2.193450927734375e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.811981201171875e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.3113021850585938e-05
