,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1100,0.0020580291748046875,0.0024521350860595703,0.002910137176513672,0.003287076950073242,0.003631114959716797,0.004103899002075195,0.004433870315551758,0.0048291683197021484,0.00518488883972168,0.005583047866821289,0.0058820247650146484,0.0062410831451416016,0.006562948226928711,0.0068988800048828125,0.007169008255004883,0.007574796676635742,0.007922887802124023,0.008173227310180664,0.008504867553710938,0.008777141571044922,0.009088993072509766,0.009367227554321289,0.009630918502807617,0.009900093078613281,0.010123968124389648,0.01187896728515625,0.010806083679199219,0.01096200942993164,0.01111912727355957,0.011469125747680664
1200,0.0022361278533935547,0.002766132354736328,0.0032339096069335938,0.003671884536743164,0.004049062728881836,0.004539012908935547,0.0048830509185791016,0.0053560733795166016,0.005676984786987305,0.0061550140380859375,0.006536960601806641,0.006982088088989258,0.00731205940246582,0.007703065872192383,0.00804901123046875,0.008375883102416992,0.00881195068359375,0.009132862091064453,0.009442806243896484,0.009760856628417969,0.010166168212890625,0.01047205924987793,0.010735034942626953,0.011061906814575195,0.011349916458129883,0.01158905029296875,0.011902809143066406,0.01205301284790039,0.012218952178955078,0.012492179870605469
1300,0.002440929412841797,0.0029571056365966797,0.0034580230712890625,0.003971099853515625,0.0043981075286865234,0.004916191101074219,0.005338907241821289,0.00583195686340332,0.00621795654296875,0.00669097900390625,0.0070569515228271484,0.007484912872314453,0.007843017578125,0.008328914642333984,0.00875997543334961,0.009132862091064453,0.00953221321105957,0.00987696647644043,0.010277986526489258,0.010658025741577148,0.011067867279052734,0.011322975158691406,0.011652946472167969,0.012051105499267578,0.012386083602905273,0.01259303092956543,0.012848138809204102,0.013132095336914062,0.013384103775024414,0.013618946075439453
1400,0.0026388168334960938,0.0031538009643554688,0.003702878952026367,0.00428318977355957,0.0047168731689453125,0.0052700042724609375,0.0057179927825927734,0.006226062774658203,0.006649971008300781,0.007163047790527344,0.007537126541137695,0.008090019226074219,0.008480072021484375,0.008993148803710938,0.009472846984863281,0.009879827499389648,0.010255813598632812,0.010666847229003906,0.011152029037475586,0.011502981185913086,0.012096881866455078,0.012462854385375977,0.012674808502197266,0.013103961944580078,0.01342010498046875,0.01367497444152832,0.013976097106933594,0.014297962188720703,0.014594793319702148,0.014983892440795898
1500,0.0028090476989746094,0.0034360885620117188,0.004071950912475586,0.00467991828918457,0.005185127258300781,0.005688905715942383,0.006208896636962891,0.006776094436645508,0.007241010665893555,0.00775599479675293,0.008246898651123047,0.00879216194152832,0.00925898551940918,0.00974893569946289,0.010217905044555664,0.010694026947021484,0.011166095733642578,0.01159811019897461,0.013538122177124023,0.012595891952514648,0.01311492919921875,0.013545036315917969,0.013898849487304688,0.015124797821044922,0.01505589485168457,0.015011072158813477,0.015607833862304688,0.015807151794433594,0.016093015670776367,0.01638007164001465
1600,0.0030939579010009766,0.0036270618438720703,0.004291057586669922,0.004892110824584961,0.0054149627685546875,0.006095170974731445,0.006701946258544922,0.0071980953216552734,0.007691144943237305,0.008344888687133789,0.008752822875976562,0.009366989135742188,0.010164976119995117,0.010421037673950195,0.010827064514160156,0.011630058288574219,0.012027978897094727,0.012359857559204102,0.013073921203613281,0.013365030288696289,0.013950109481811523,0.014252901077270508,0.014724969863891602,0.015201091766357422,0.015843868255615234,0.01593017578125,0.016434907913208008,0.016726016998291016,0.017096996307373047,0.01746201515197754
1700,0.0032570362091064453,0.0038881301879882812,0.0045359134674072266,0.005206108093261719,0.0057790279388427734,0.00644993782043457,0.007073879241943359,0.0076138973236083984,0.008173942565917969,0.008836030960083008,0.009376049041748047,0.00995016098022461,0.010616064071655273,0.011007070541381836,0.011603832244873047,0.01214289665222168,0.012675046920776367,0.013153076171875,0.01392984390258789,0.01418614387512207,0.01479196548461914,0.015189886093139648,0.015705108642578125,0.0162351131439209,0.01690983772277832,0.018459081649780273,0.01758289337158203,0.018004894256591797,0.018487930297851562,0.0189511775970459
1800,0.003468036651611328,0.004084110260009766,0.004871845245361328,0.005533933639526367,0.006120920181274414,0.006828784942626953,0.0075418949127197266,0.008097171783447266,0.008620977401733398,0.00938105583190918,0.009901046752929688,0.010486125946044922,0.011142969131469727,0.011685848236083984,0.012215137481689453,0.012883901596069336,0.013414859771728516,0.013982057571411133,0.014759063720703125,0.01513981819152832,0.015935897827148438,0.01608896255493164,0.016688823699951172,0.01728200912475586,0.017958879470825195,0.01812887191772461,0.0185699462890625,0.018980026245117188,0.019451141357421875,0.019912004470825195
1900,0.00360107421875,0.00427699089050293,0.005009174346923828,0.0058438777923583984,0.006438016891479492,0.007235050201416016,0.007998943328857422,0.008623123168945312,0.009248018264770508,0.009860038757324219,0.010497093200683594,0.01112508773803711,0.011832952499389648,0.012356042861938477,0.013035058975219727,0.01361703872680664,0.014198064804077148,0.014760017395019531,0.015520095825195312,0.01590704917907715,0.01662898063659668,0.01705789566040039,0.01759791374206543,0.018252134323120117,0.018965959548950195,0.01917719841003418,0.01968693733215332,0.020109891891479492,0.020621061325073242,0.021106958389282227
2000,0.0037429332733154297,0.005845069885253906,0.0053098201751708984,0.006054878234863281,0.006766080856323242,0.007670164108276367,0.0083770751953125,0.009023904800415039,0.009852170944213867,0.01041102409362793,0.011109113693237305,0.011727094650268555,0.012388944625854492,0.013136148452758789,0.013660907745361328,0.0144500732421875,0.015072107315063477,0.01568889617919922,0.016469955444335938,0.01693892478942871,0.017722129821777344,0.018171072006225586,0.018784046173095703,0.01958489418029785,0.020061969757080078,0.02061295509338379,0.02097320556640625,0.021550893783569336,0.022127866744995117,0.022593975067138672
