,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11,6.29425048828125e-05,0.00017213821411132812,0.00011610984802246094,0.00011897087097167969,0.00012421607971191406,0.00011897087097167969,0.00012302398681640625,0.00012612342834472656,0.0001430511474609375,0.0001361370086669922,0.0001399517059326172,0.0001430511474609375,0.00016188621520996094,0.00016617774963378906,0.0001690387725830078,0.0001881122589111328,0.00017905235290527344,0.00018405914306640625,0.000186920166015625,0.00019216537475585938,0.0002090930938720703,0.00020694732666015625,0.00021195411682128906,0.00021505355834960938,0.0002200603485107422,0.0002300739288330078,0.00023102760314941406,0.00023603439331054688,0.00023698806762695312,0.00025177001953125
12,6.29425048828125e-05,0.00024008750915527344,0.00020313262939453125,0.00020503997802734375,0.000225067138671875,0.0002090930938720703,0.00021505355834960938,0.0002200603485107422,0.0002338886260986328,0.00023698806762695312,0.00024199485778808594,0.000247955322265625,0.0002880096435546875,0.00029206275939941406,0.0002968311309814453,0.00031280517578125,0.00031685829162597656,0.00032210350036621094,0.0003299713134765625,0.0003428459167480469,0.00035381317138671875,0.00036978721618652344,0.0003688335418701172,0.0003769397735595703,0.0004038810729980469,0.0003910064697265625,0.00043201446533203125,0.00040602684020996094,0.00043201446533203125,0.0004591941833496094
13,6.914138793945312e-05,0.00033092498779296875,0.0002300739288330078,0.0002300739288330078,0.00022602081298828125,0.00022220611572265625,0.0002288818359375,0.00024199485778808594,0.0002429485321044922,0.00025200843811035156,0.0002579689025878906,0.0002720355987548828,0.00030112266540527344,0.00030803680419921875,0.0003230571746826172,0.00032806396484375,0.00033593177795410156,0.0003521442413330078,0.00035190582275390625,0.00035691261291503906,0.0003800392150878906,0.0003819465637207031,0.00041103363037109375,0.00040793418884277344,0.00040411949157714844,0.00042510032653808594,0.0004210472106933594,0.0004360675811767578,0.00043702125549316406,0.00045990943908691406
14,7.319450378417969e-05,0.0004520416259765625,0.0002789497375488281,0.0003039836883544922,0.00029587745666503906,0.0002930164337158203,0.00030612945556640625,0.00030803680419921875,0.0003190040588378906,0.0003349781036376953,0.0003380775451660156,0.00035500526428222656,0.0004000663757324219,0.0004029273986816406,0.00041794776916503906,0.00042510032653808594,0.0004329681396484375,0.00045108795166015625,0.0004551410675048828,0.00048804283142089844,0.00048804283142089844,0.0005130767822265625,0.0005130767822265625,0.0005228519439697266,0.0005288124084472656,0.0005459785461425781,0.0005500316619873047,0.0005640983581542969,0.0005738735198974609,0.0005919933319091797
15,7.700920104980469e-05,0.0006289482116699219,0.0004210472106933594,0.0004558563232421875,0.00045299530029296875,0.00045490264892578125,0.0004630088806152344,0.00048422813415527344,0.0004909038543701172,0.0005090236663818359,0.0005190372467041016,0.0005490779876708984,0.0006039142608642578,0.0006260871887207031,0.0006420612335205078,0.0006580352783203125,0.0006899833679199219,0.0006940364837646484,0.0007021427154541016,0.0007169246673583984,0.0007638931274414062,0.0007779598236083984,0.0007929801940917969,0.00080108642578125,0.0008220672607421875,0.0008568763732910156,0.0008580684661865234,0.0008718967437744141,0.0008838176727294922,0.0009188652038574219
16,8.392333984375e-05,0.000881195068359375,0.0006730556488037109,5.0067901611328125e-06,5.9604644775390625e-06,5.0067901611328125e-06,5.9604644775390625e-06,5.0067901611328125e-06,5.9604644775390625e-06,6.198883056640625e-06,5.9604644775390625e-06,5.9604644775390625e-06,6.198883056640625e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,7.152557373046875e-06,8.106231689453125e-06,6.9141387939453125e-06,8.106231689453125e-06,8.106231689453125e-06,7.867813110351562e-06,7.867813110351562e-06,8.106231689453125e-06,8.106231689453125e-06,9.059906005859375e-06,9.059906005859375e-06,7.867813110351562e-06,7.867813110351562e-06,9.059906005859375e-06
17,8.702278137207031e-05,0.001199960708618164,0.0009779930114746094,0.0002989768981933594,0.0003108978271484375,0.00030803680419921875,0.00031304359436035156,0.00032401084899902344,0.0003428459167480469,0.0003402233123779297,0.0003509521484375,0.00036597251892089844,0.0004100799560546875,0.0004260540008544922,0.0004291534423828125,0.00044989585876464844,0.00045418739318847656,0.0004730224609375,0.0004830360412597656,0.0004830360412597656,0.000514984130859375,0.0005240440368652344,0.0005400180816650391,0.0005509853363037109,0.0005528926849365234,0.0005810260772705078,0.0005750656127929688,0.0005898475646972656,0.0006060600280761719,0.0006310939788818359
18,9.202957153320312e-05,0.001644134521484375,0.0012328624725341797,0.0006048679351806641,0.0006170272827148438,0.0006220340728759766,0.0006339550018310547,0.0006530284881591797,0.0006799697875976562,0.0006968975067138672,0.0007112026214599609,0.00074005126953125,0.0008399486541748047,0.0008580684661865234,0.0008749961853027344,0.0009098052978515625,0.0009288787841796875,0.0009369850158691406,0.0009658336639404297,0.0009839534759521484,0.0010380744934082031,0.0010700225830078125,0.0010991096496582031,0.0010988712310791016,0.0011200904846191406,0.0011610984802246094,0.0011661052703857422,0.0011870861053466797,0.0012059211730957031,0.0012538433074951172
19,9.703636169433594e-05,0.0022759437561035156,0.0017361640930175781,0.0011229515075683594,0.0011751651763916016,0.0011188983917236328,0.001161813735961914,0.0012018680572509766,0.0012400150299072266,0.0012879371643066406,0.0013201236724853516,0.0013680458068847656,0.0015361309051513672,0.0015749931335449219,0.0016210079193115234,0.0016608238220214844,0.0017168521881103516,0.0017499923706054688,0.0017850399017333984,0.0018088817596435547,0.001920938491821289,0.001981973648071289,0.0020058155059814453,0.0020220279693603516,0.0020699501037597656,0.0021071434020996094,0.0021638870239257812,0.0021898746490478516,0.0022280216217041016,0.0023331642150878906
20,0.000102996826171875,0.0031251907348632812,0.0025060176849365234,0.0012919902801513672,0.0013620853424072266,0.0012679100036621094,0.0013110637664794922,0.0013539791107177734,0.001397848129272461,0.0014519691467285156,0.0014789104461669922,0.0015308856964111328,0.0017521381378173828,0.0017409324645996094,0.00179290771484375,0.0018460750579833984,0.0018780231475830078,0.0019249916076660156,0.001968860626220703,0.002017974853515625,0.0021119117736816406,0.0021779537200927734,0.0022199153900146484,0.002290010452270508,0.0023059844970703125,0.0023419857025146484,0.0024030208587646484,0.0024480819702148438,0.002499818801879883,0.00263214111328125
21,0.00010800361633300781,0.004294872283935547,0.0037021636962890625,0.0018579959869384766,0.0019600391387939453,0.001825094223022461,0.0018689632415771484,0.001928091049194336,0.0019919872283935547,0.0020418167114257812,0.002090930938720703,0.00215911865234375,0.0024480819702148438,0.0024919509887695312,0.002557992935180664,0.002640962600708008,0.0027060508728027344,0.0027761459350585938,0.0028350353240966797,0.002885103225708008,0.003056049346923828,0.0031299591064453125,0.003197193145751953,0.0032269954681396484,0.0033180713653564453,0.003390073776245117,0.003537893295288086,0.003507852554321289,0.003576993942260742,0.0037169456481933594
22,0.00011515617370605469,0.00592494010925293,0.005274057388305664,0.002613067626953125,0.0027201175689697266,0.0026731491088867188,0.0027608871459960938,0.0028791427612304688,0.0029599666595458984,0.0030558109283447266,0.0031337738037109375,0.00321197509765625,0.0036449432373046875,0.0037381649017333984,0.0038330554962158203,0.0039670467376708984,0.004055976867675781,0.0041539669036865234,0.004235029220581055,0.004289150238037109,0.004523038864135742,0.004662990570068359,0.004770040512084961,0.004831075668334961,0.0049610137939453125,0.0050389766693115234,0.005136966705322266,0.005218029022216797,0.0052890777587890625,0.005526065826416016
23,0.00011897087097167969,0.008198022842407227,0.00723719596862793,0.004086017608642578,0.004308938980102539,0.0041408538818359375,0.004297018051147461,0.004461050033569336,0.004580974578857422,0.004725933074951172,0.0048639774322509766,0.00501704216003418,0.0056610107421875,0.005831003189086914,0.005951881408691406,0.006175994873046875,0.0063169002532958984,0.0064389705657958984,0.0066089630126953125,0.0067119598388671875,0.007086992263793945,0.007389068603515625,0.007451057434082031,0.007521867752075195,0.007684946060180664,0.007837057113647461,0.007980108261108398,0.008170127868652344,0.008254051208496094,0.008607864379882812
24,0.00013113021850585938,0.01143503189086914,0.010152101516723633,0.005828142166137695,0.006172895431518555,0.00592803955078125,0.0061550140380859375,0.006350040435791016,0.006557941436767578,0.006744861602783203,0.006958961486816406,0.0071680545806884766,0.008146047592163086,0.008331060409545898,0.00852513313293457,0.008785009384155273,0.009037971496582031,0.009222030639648438,0.009454011917114258,0.009689092636108398,0.010132074356079102,0.010478019714355469,0.011219024658203125,0.011227846145629883,0.01138615608215332,0.011429071426391602,0.012343883514404297,0.011654138565063477,0.01180887222290039,0.013423919677734375
